Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Machinery operators and drivers,No,604,West and North West,18468,0
15,19,Machinery operators and drivers,No,701,Darwin,33991,8223
15,19,Machinery operators and drivers,No,801,Australian Capital Territory,26025,0
15,19,Machinery operators and drivers,No,#N/A,Unknown/Overseas,2487,0
15,19,Managers,No,102,Central Coast,23748,0
15,19,Managers,No,111,Newcastle and Lake Macquarie,26205,4769
15,19,Managers,No,115,Sydney - Baulkham Hills and Hawkesbury,1096,0
15,19,Managers,No,116,Sydney - Blacktown,35510,1391
15,19,Managers,No,119,Sydney - Inner South West,21494,0
15,19,Managers,No,123,Sydney - Outer South West,25779,5743
15,19,Managers,No,124,Sydney - Outer West and Blue Mountains,20639,0
15,19,Managers,No,125,Sydney - Parramatta,4548,0
15,19,Managers,No,127,Sydney - South West,23717,0
15,19,Managers,No,212,Melbourne - South East,18116,29472
15,19,Managers,No,213,Melbourne - West,18849,0
15,19,Managers,No,216,Shepparton,48369,24090
15,19,Managers,No,306,Cairns,34275,0
15,19,Managers,No,309,Gold Coast,16906,825
15,19,Managers,No,311,Logan - Beaudesert,3733,0
15,19,Managers,No,402,Adelaide - North,22848,7510
15,19,Managers,No,505,Perth - North West,22924,0
15,19,Managers,No,506,Perth - South East,49713,0
15,19,Managers,No,507,Perth - South West,40249,0
15,19,Managers,No,508,Western Australia - Outback,47372,0
15,19,Managers,Yes,305,Brisbane Inner City,38184,9460
15,19,Managers,Yes,316,Sunshine Coast,25845,0
15,19,Other,No,101,Capital Region,19582,0
15,19,Other,No,102,Central Coast,13802,274
15,19,Other,No,103,Central West,20686,786
15,19,Other,No,104,Coffs Harbour - Grafton,20381,0
15,19,Other,No,105,Far West and Orana,19193,0
15,19,Other,No,106,Hunter Valley exc Newcastle,20183,0
15,19,Other,No,107,Illawarra,18066,823
15,19,Other,No,108,Mid North Coast,23167,0
15,19,Other,No,109,Murray,12367,0
15,19,Other,No,110,New England and North West,19382,232
15,19,Other,No,111,Newcastle and Lake Macquarie,14113,1189
15,19,Other,No,112,Richmond - Tweed,18369,0
15,19,Other,No,113,Riverina,20753,0
15,19,Other,No,114,Southern Highlands and Shoalhaven,18765,471
15,19,Other,No,115,Sydney - Baulkham Hills and Hawkesbury,14461,194
15,19,Other,No,116,Sydney - Blacktown,8989,962
15,19,Other,No,117,Sydney - City and Inner South,21269,4804
15,19,Other,No,118,Sydney - Eastern Suburbs,23797,1800
15,19,Other,No,119,Sydney - Inner South West,13072,2225
15,19,Other,No,120,Sydney - Inner West,13713,466
15,19,Other,No,121,Sydney - North Sydney and Hornsby,15679,256
15,19,Other,No,122,Sydney - Northern Beaches,14690,976
15,19,Other,No,123,Sydney - Outer South West,16653,1151
15,19,Other,No,124,Sydney - Outer West and Blue Mountains,13953,177
15,19,Other,No,125,Sydney - Parramatta,13553,419
15,19,Other,No,126,Sydney - Ryde,16383,1097
15,19,Other,No,127,Sydney - South West,14133,1184
15,19,Other,No,128,Sydney - Sutherland,17570,548
15,19,Other,No,201,Ballarat,12393,1017
15,19,Other,No,202,Bendigo,12909,0
15,19,Other,No,203,Geelong,12769,547
15,19,Other,No,204,Hume,17464,801
15,19,Other,No,205,Latrobe - Gippsland,17375,0
15,19,Other,No,206,Melbourne - Inner,22106,633
15,19,Other,No,207,Melbourne - Inner East,21983,829
15,19,Other,No,208,Melbourne - Inner South,25459,708
15,19,Other,No,209,Melbourne - North East,19301,850
15,19,Other,No,210,Melbourne - North West,24338,511
15,19,Other,No,211,Melbourne - Outer East,12716,678
15,19,Other,No,212,Melbourne - South East,13497,1169
15,19,Other,No,213,Melbourne - West,17281,177
15,19,Other,No,214,Mornington Peninsula,12247,878
15,19,Other,No,215,North West,18240,649
15,19,Other,No,216,Shepparton,14845,749
15,19,Other,No,217,Warrnambool and South West,17064,0
15,19,Other,No,301,Brisbane - East,20190,861
15,19,Other,No,302,Brisbane - North,19726,0
15,19,Other,No,303,Brisbane - South,14416,2239
15,19,Other,No,304,Brisbane - West,15481,2254
15,19,Other,No,305,Brisbane Inner City,10103,1069
15,19,Other,No,306,Cairns,20107,829
15,19,Other,No,307,Darling Downs - Maranoa,17955,0
15,19,Other,No,308,Fitzroy,21824,773
15,19,Other,No,309,Gold Coast,21244,749
15,19,Other,No,310,Ipswich,16753,391
15,19,Other,No,311,Logan - Beaudesert,21209,1240
15,19,Other,No,312,Mackay,16162,0
15,19,Other,No,313,Moreton Bay - North,15037,648
15,19,Other,No,314,Moreton Bay - South,14872,867
15,19,Other,No,315,Queensland - Outback,24629,1106
15,19,Other,No,316,Sunshine Coast,13878,1056
15,19,Other,No,317,Toowoomba,20088,381
15,19,Other,No,318,Townsville,18706,1468
15,19,Other,No,319,Wide Bay,18403,1374
15,19,Other,No,401,Adelaide - Central and Hills,15930,427
15,19,Other,No,402,Adelaide - North,12836,203
15,19,Other,No,403,Adelaide - South,17405,1073
15,19,Other,No,404,Adelaide - West,11115,570
15,19,Other,No,405,Barossa - Yorke - Mid North,14055,272
15,19,Other,No,406,South Australia - Outback,15531,439
15,19,Other,No,407,South Australia - South East,15867,571
15,19,Other,No,501,Bunbury,23631,0
15,19,Other,No,502,Mandurah,23109,990
15,19,Other,No,503,Perth - Inner,20248,815
15,19,Other,No,504,Perth - North East,19146,464
15,19,Other,No,505,Perth - North West,19642,962
15,19,Other,No,506,Perth - South East,17404,871
15,19,Other,No,507,Perth - South West,15521,737
